,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
0,01-01-2019 00:00,2.70319E+15,"fraud_Rippin, Kub and Mann",misc_net,4.97,Jennifer,Banks,F,561 Perry Cove,Moravian Falls,NC,28654,36.0788,-81.1781,3495,"Psychologist, counselling",09-03-1988,0b242abb623afc578575680df30655b9,1325376018,36.011293,-82.048315,0
1,01-01-2019 00:00,6.30423E+11,"fraud_Heller, Gutmann and Zieme",grocery_pos,107.23,Stephanie,Gill,F,43039 Riley Greens Suite 393,Orient,WA,99160,48.8878,-118.2105,149,Special educational needs teacher,21-06-1978,1f76529f8574734946361c461b024d99,1325376044,49.159047,-118.186462,0
2,01-01-2019 00:00,3.88595E+13,fraud_Lind-Buckridge,entertainment,220.11,Edward,Sanchez,M,594 White Dale Suite 530,Malad City,ID,83252,42.1808,-112.262,4154,Nature conservation officer,19-01-1962,a1a22d70485983eac12b5b88dad1cf95,1325376051,43.150704,-112.154481,0
3,01-01-2019 00:01,3.53409E+15,"fraud_Kutch, Hermiston and Farrell",gas_transport,45,Jeremy,White,M,9443 Cynthia Court Apt. 038,Boulder,MT,59632,46.2306,-112.1138,1939,Patent attorney,12-01-1967,6b849c168bdad6f867558c3793159a81,1325376076,47.034331,-112.561071,0
4,01-01-2019 00:03,3.75534E+14,fraud_Keeling-Crist,misc_pos,41.96,Tyler,Garcia,M,408 Bradley Rest,Doe Hill,VA,24433,38.4207,-79.4629,99,Dance movement psychotherapist,28-03-1986,a41d7549acf90789359a9aa5346dcb46,1325376186,38.674999,-78.632459,0
5,01-01-2019 00:04,4.76727E+15,"fraud_Stroman, Hudson and Erdman",gas_transport,94.63,Jennifer,Conner,F,4655 David Island,Dublin,PA,18917,40.375,-75.2045,2158,Transport planner,19-06-1961,189a841a0a8ba03058526bcfe566aab5,1325376248,40.653382,-76.152667,0
6,01-01-2019 00:04,3.00747E+13,fraud_Rowe-Vandervort,grocery_net,44.54,Kelsey,Richards,F,889 Sarah Station Suite 624,Holcomb,KS,67851,37.9931,-100.9893,2691,Arboriculturist,16-08-1993,83ec1cc84142af6e2acf10c44949e720,1325376282,37.162705,-100.15337,0
7,01-01-2019 00:05,6.01136E+15,fraud_Corwin-Collins,gas_transport,71.65,Steven,Williams,M,231 Flores Pass Suite 720,Edinburg,VA,22824,38.8432,-78.6003,6018,"Designer, multimedia",21-08-1947,6d294ed2cc447d2c71c7171a3d54967c,1325376308,38.948089,-78.540296,0
8,01-01-2019 00:05,4.92271E+15,fraud_Herzog Ltd,misc_pos,4.27,Heather,Chase,F,6888 Hicks Stream Suite 954,Manor,PA,15665,40.3359,-79.6607,1472,Public affairs consultant,07-03-1941,fc28024ce480f8ef21a32d64c93a29f5,1325376318,40.351813,-79.958146,0
9,01-01-2019 00:06,2.72083E+15,"fraud_Schoen, Kuphal and Nitzsche",grocery_pos,198.39,Melissa,Aguilar,F,21326 Taylor Squares Suite 708,Clarksville,TN,37040,36.522,-87.349,151785,Pathologist,28-03-1974,3b9014ea8fb80bd65de0b1463b00b00e,1325376361,37.179198,-87.485381,0
10,01-01-2019 00:06,4.64289E+12,fraud_Rutherford-Mertz,grocery_pos,24.74,Eddie,Mendez,M,1831 Faith View Suite 653,Clarinda,IA,51632,40.7491,-95.038,7297,IT trainer,13-07-1990,d71c95ab6b7356dd74389d41df429c87,1325376383,40.275891,-96.011548,0
11,01-01-2019 00:06,3.77234E+14,fraud_Kerluke-Abshire,shopping_net,7.77,Theresa,Blackwell,F,43576 Kristina Islands,Shenandoah Junction,WV,25442,39.3716,-77.8229,1925,Systems developer,14-02-1966,3c74776e558f1499a7824b556e474b1d,1325376413,40.103866,-78.624459,0
12,01-01-2019 00:06,1.80043E+14,fraud_Lockman Ltd,grocery_pos,71.22,Charles,Robles,M,3337 Lisa Divide,Saint Petersburg,FL,33710,27.7898,-82.7243,341043,"Engineer, land",28-02-1989,c1d9a7ddb1e34639fe82758de97f4abf,1325376416,27.630593,-82.308891,0
13,01-01-2019 00:07,5.55986E+15,fraud_Kiehn Inc,grocery_pos,96.29,Jack,Hill,M,5916 Susan Bridge Apt. 939,Grenada,CA,96038,41.6125,-122.5258,589,Systems analyst,21-12-1945,413636e759663f264aae1819a4d4f231,1325376447,41.65752,-122.230347,0
14,01-01-2019 00:09,3.51487E+15,fraud_Beier-Hyatt,shopping_pos,7.77,Christopher,Castaneda,M,1632 Cohen Drive Suite 639,High Rolls Mountain Park,NM,88325,32.9396,-105.8189,899,Naval architect,30-08-1967,8a6293af5ed278dea14448ded2685fea,1325376543,32.863258,-106.520205,0
15,01-01-2019 00:09,6.012E+15,fraud_Schmidt and Sons,shopping_net,3.26,Ronald,Carson,M,870 Rocha Drive,Harrington Park,NJ,7640,40.9918,-73.98,4664,"Radiographer, diagnostic",30-06-1965,baae0b096835c975857eea7e28dde3dc,1325376560,41.831174,-74.335559,0
16,01-01-2019 00:10,6.01186E+15,fraud_Lebsack and Sons,misc_net,327,Lisa,Mendez,F,44259 Beth Station Suite 215,Lahoma,OK,73754,36.385,-98.0727,1078,"Programme researcher, broadcasting/film/video",06-07-1952,991c04803b4d4eeab30d6245a872e3d3,1325376649,36.384092,-99.048472,0
17,01-01-2019 00:10,3.56542E+15,fraud_Mayert Group,shopping_pos,341.67,Nathan,Thomas,M,4923 Campbell Pines Suite 717,Carlisle,IN,47838,38.9763,-87.3667,4081,Energy engineer,15-03-1938,f12cf52be2175703db789a4644c32f25,1325376658,38.674491,-88.305767,0
18,01-01-2019 00:11,2.34825E+15,"fraud_Konopelski, Schneider and Hartmann",food_dining,63.07,Justin,Gay,M,268 Hayes Rue Suite 811,Harborcreek,PA,16421,42.1767,-79.9416,2518,Event organiser,02-02-1946,8500f3d459047eac8443307b1e8296e5,1325376674,41.430274,-79.492553,0
